dataset_id,title,aliases,availability,availability_detail,availability_group,domain,scope_screen,scope_reason,url,access,license_evidence,data_sources,introduced_by,related_papers,source_note
Datasets/Public/NEU-CLS,Northeastern University (NEU) surface defect database,Northeastern University surface defect database | NEU surface defect database | NEU-CLS | NEU classification dataset,public,,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://faculty.neu.edu.cn/songkechen/zh_CN/zdylm/263270/list/index.htm,,,Northeastern University surface defect database,2013 - A Noise Robust Method Based on Completed Local Binary Patterns for Hot-Rolled Steel Strip Surface Defects,2013 - A Noise Robust Method Based on Completed Local Binary Patterns for Hot-Rolled Steel Strip Surface Defects | 2020 - An End-to-End Steel Surface Defect Detection Approach via Fusing Multiple Hierarchical Features | 2022 - Synthetic Data Augmentation for Surface Defect Detection and Classification Using Deep Learning | 2023 - A New Contrastive GAN With Data Augmentation for Surface Defect Recognition Under Limited Data,Datasets/Public/NEU-CLS.md
Datasets/Public/NEU-DET,NEU-DET,Northeastern University surface defect dataset,public,,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://faculty.neu.edu.cn/songkechen/zh_CN/zdylm/263270/list/index.htm,,,Northeastern University surface defect database,2020 - An End-to-End Steel Surface Defect Detection Approach via Fusing Multiple Hierarchical Features,2020 - An End-to-End Steel Surface Defect Detection Approach via Fusing Multiple Hierarchical Features | 2020 - Deep Metallic Surface Defect Detection The New Benchmark and Detection Network | 2022 - MSFT-YOLO Improved YOLOv5 Based on Transformer for Detecting Defects of Steel Surface,Datasets/Public/NEU-DET.md
Datasets/Public/NEU-SEG,NEU-SEG,NEU-SEG | NEU-Seg | NEU Seg,public,,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,http://faculty.neu.edu.cn/songkechen/zh_CN/zdylm/263270/list/index.htm,,,Northeastern University surface defect database | NEU_Seg GitHub repository,2020 - PGA-Net Pyramid Feature Fusion and Global Context Attention Network for Automated Surface Defect Detection,2020 - PGA-Net Pyramid Feature Fusion and Global Context Attention Network for Automated Surface Defect Detection | 2022 - FDSNet An Accurate Real-Time Surface Defect Segmentation Network,Datasets/Public/NEU-SEG.md
Datasets/Public/Open Stamped Parts Dataset,Open Stamped Parts Dataset,OSPD | Open Stamped Parts Dataset | Synthetic-OSPD,public,,Public,Automotive manufacturing,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://214557p1st.blob.core.windows.net/public/case2024.ZIP,open,,Azure Blob Storage | General Motors,2024 - Open Stamped Parts Dataset,2024 - Open Stamped Parts Dataset,Datasets/Public/Open Stamped Parts Dataset.md
Datasets/Public/Pharmaceutical bag thermal sealing defect dataset,Pharmaceutical bag thermal sealing defect dataset,Thermal imaging pharmaceutical bag sealing defect dataset,public,,Public,Pharmaceutical packaging inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://doi.org/10.5281/zenodo.18616983,,,Zenodo,2026 - Thermal Imaging for Sealing Defect Detection in Pharmaceutical Bags Using a Temporal Fusion Network,,Datasets/Public/Pharmaceutical bag thermal sealing defect dataset.md
Datasets/Public/PV Panel Defect Dataset,PV Panel Defect Dataset,PV panel defect dataset | Alicja Lenarczyk PV Panel Defect Dataset | Solar PV panel defect dataset,public,,Public,Solar cells and photovoltaic,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.kaggle.com/datasets/alicjalena/pv-panel-defect-dataset,,CC BY-NC-SA 4.0,Kaggle,2025 - Comparison of ML classifiers in automatic diagnostics of PV panels using deep image features,2025 - Comparison of ML classifiers in automatic diagnostics of PV panels using deep image features | 2026 - Diagnosing Shortcut Learning in CNN-Based Photovoltaic Fault Recognition from RGB Images | 2025 - Comparative Deep Learning for RGB-Based PV Surface Fault Classification Using ResNet50 and EfficientNetB0,Datasets/Public/PV Panel Defect Dataset.md
Datasets/Public/PV-IV-EL,PV-IV-EL,Photovoltaic Module Current-Voltage and Electroluminescence Image Data | Photovoltaic Module Current-Voltage and Electroluminescence Image Data (PV-IV-EL),public,,Public,Solar cells and photovoltaic,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://data.openei.org/submissions/8378,,CC BY 4.0,Open Energy Data Initiative | Sandia National Laboratories,2025 - Advanced Photovoltaic Module Characterization Using Image Transformers for Current-Voltage Curve Prediction From Electroluminescence Images,,Datasets/Public/PV-IV-EL.md
Datasets/Public/PV-Multi-Defect,PV-Multi-Defect,PV Multi-Defect dataset | PV panel surface-defect detection dataset,public,,Public,Solar cells and photovoltaic,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/CCNUZFW/PV-Multi-Defect,,,GitHub,2023 - GBH-YOLOv5 Ghost Convolution with BottleneckCSP and Tiny Target Prediction Head Incorporating YOLOv5 for PV Panel Defect Detection,2023 - GBH-YOLOv5 Ghost Convolution with BottleneckCSP and Tiny Target Prediction Head Incorporating YOLOv5 for PV Panel Defect Detection,Datasets/Public/PV-Multi-Defect.md
Datasets/Public/PVEL-AD,PVEL-AD,PV EL Anomaly Detection dataset | PVEL-AD-2021 | PVEL-AD-2019 | PV Panel EL,public,,Public,Solar cells and photovoltaic,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/binyisu/PVEL-AD,,,GitHub,2023 - PVEL-AD A Large-Scale Open-World Dataset for Photovoltaic Cell Anomaly Detection,,Datasets/Public/PVEL-AD.md
Datasets/Public/rCXR,rCXR,re-curated chest X-ray,public,,Public,Medical imaging,contextual,Automated exclusion-domain match: Medical imaging,,,,public NIH chest X-ray dataset,2022 - Natural Synthetic Anomalies for Self-Supervised Anomaly Detection and Localization,,Datasets/Public/rCXR.md
Datasets/Public/Real-IAD,Real-IAD,Real-IAD,public,public gated,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://realiad4ad.github.io/Real-IAD,Hugging Face dataset card reports a publicly accessible repository with condition acceptance and automatically approved access request.,CC-BY-NC-SA-4.0,https://realiad4ad.github.io/Real-IAD | https://huggingface.co/datasets/Real-IAD/Real-IAD,2024 - Real-IAD A Real-World Multi-View Dataset for Benchmarking Versatile Industrial Anomaly Detection,2024 - Real-IAD A Real-World Multi-View Dataset for Benchmarking Versatile Industrial Anomaly Detection,Datasets/Public/Real-IAD.md
Datasets/Public/RSW gun fault prediction benchmark dataset,RSW gun fault prediction benchmark dataset,RSW gun fault prediction benchmark data set | Resistance spot welding gun fault prediction benchmark dataset | Welding gun fault prediction benchmark dataset,public,,Public,Automotive manufacturing,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://zenodo.org/records/7655193,open,CC-BY-4.0,Zenodo | BMW Brilliance Automotive body shop,2024 - Benchmark for Welding Gun Fault Prediction with Multivariate Time Series Data,2024 - Benchmark for Welding Gun Fault Prediction with Multivariate Time Series Data,Datasets/Public/RSW gun fault prediction benchmark dataset.md
Datasets/Public/SCAN,SCAN,Simplified CommAI Navigation tasks,public,,Public,Natural language processing,contextual,Automated exclusion-domain match: Natural language processing,https://github.com/brendenlake/SCAN,,,,2018 - Generalization without Systematicity On the Compositional Skills of Sequence-to-Sequence Recurrent Networks,,Datasets/Public/SCAN.md
Datasets/Public/Severstal Steel Defect Dataset,Severstal Steel Defect Dataset,Severstal Steel defect dataset | Severstal Steel,public,public,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.kaggle.com/c/severstal-steel-defect-detection,,,Kaggle competition page,,2021 - Mixed Supervision for Surface-Defect Detection From Weakly to Fully Supervised Learning | 2021 - Synthetic Data Generation for Steel Defect Detection and Classification Using Deep Learning | 2023 - Automated Steel Surface Defect Detection and Classification Using a New Deep Learning-Based Approach,Datasets/Public/Severstal Steel Defect Dataset.md
Datasets/Public/SolarDK,SolarDK,SolarDK dataset | SolarDK: A high-resolution urban solar panel image classification and localisation dataset,public,,Public,Solar cells and photovoltaic,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://osf.io/aj539/overview,,CC BY 4.0,OSF,2022 - SolarDK A high-resolution urban solar panel image classification and localization dataset,2022 - SolarDK A high-resolution urban solar panel image classification and localization dataset,Datasets/Public/SolarDK.md
Datasets/Public/SSGD,SSGD,Smartphone Screen Glass Dataset | Smartphone screen glass defect dataset,public,,Public,Glass inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/VincentHancoder/SSGD,,Apache-2.0 repository license | academic purposes only dataset usage,GitHub | Baidu | Tsinghua Cloud,2023 - SSGD A Smartphone Screen Glass Dataset for Defect Detection,,Datasets/Public/SSGD.md
Datasets/Public/Structural Adhesive Defects Dataset,Structural Adhesive Defects Dataset,GAN_Synth_Adhesive | GAN Structural Adhesive Dataset | Structural adhesive GAN dataset | Structural Adhesive Defects | adhesive1024,public,public,Public,Automotive manufacturing,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/RicardoSPeres/GAN_Synth_Adhesive/releases/tag/v1.0,open,,GitHub release | Structural adhesive application cell at Introsys S.A.,2021 - Generative Adversarial Networks for Data Augmentation in Structural Adhesive Inspection,2021 - Generative Adversarial Networks for Data Augmentation in Structural Adhesive Inspection,Datasets/Public/Structural Adhesive Defects Dataset.md
Datasets/Public/SYNTHIA,SYNTHIA,SYNTHIA dataset,public,,Public,Autonomous driving,contextual,Automated exclusion-domain match: Autonomous driving,http://adas.cvc.uab.es/synthia,,,,2016 - The SYNTHIA Dataset A Large Collection of Synthetic Images for Semantic Segmentation of Urban Scenes,,Datasets/Public/SYNTHIA.md
Datasets/Public/Thermal PV Panel Detection and Fault Detection Dataset for UAV-Based Inspection,Thermal PV Panel Detection and Fault Detection Dataset for UAV-Based Inspection,Thermal PV Panel Detection Dataset for UAV Inspection | Synthetic PV fault dataset | UAV thermal PV panel detection dataset,public,,Public,Solar cells and photovoltaic,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://zenodo.org/records/16420123,,CC BY 4.0,Zenodo | Centre for Research and Technology Hellas,2025 - Synthetic Dataset for AI-Driven Photovoltaic Fault and Damage Detection via UAV Thermal Imaging,,Datasets/Public/Thermal PV Panel Detection and Fault Detection Dataset for UAV-Based Inspection.md
Datasets/Public/Tianchi aluminium profile surface defect dataset,Tianchi aluminium profile surface defect dataset,Tianchi aluminum profile surface defect dataset | Tianchi aluminium profile defect dataset,public,,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,,,,Tianchi aluminium profile surface defect dataset,,2025 - Workpiece Surface Defect Detection Based on YOLOv11 and Edge Computing,Datasets/Public/Tianchi aluminium profile surface defect dataset.md
Datasets/Public/Tianchi-TILE,Tianchi-TILE,Aliyun Tianchi ceramic tile defect detection dataset,public,,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,,,,Aliyun Tianchi ceramic tile defect detection dataset,,,Datasets/Public/Tianchi-TILE.md
Datasets/Public/TILDA,TILDA,TILDA Textile Texture Database | TILDA Textile Texture-Database,public,,Public,Textile and fiber inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://lmb.informatik.uni-freiburg.de/resources/datasets/tilda.en.html,,,University of Freiburg Computer Vision Group dataset host,1996 - TILDA Reference Dataset Report,,Datasets/Public/TILDA.md
Datasets/Public/VisA,VisA,VisA,public,public,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/amazon-science/spot-diff,AWS S3 download linked from the official Amazon Science spot-diff repository.,CC-BY-4.0,https://github.com/amazon-science/spot-diff | https://amazon-visual-anomaly.s3.us-west-2.amazonaws.com/VisA_20220922.tar,2022 - SPot-the-Difference Self-Supervised Pre-training for Anomaly Detection and Segmentation,2022 - SPot-the-Difference Self-Supervised Pre-training for Anomaly Detection and Segmentation,Datasets/Public/VisA.md
Datasets/Public/WM-811K,WM-811K,WM811K | WM-811k,public,,Public,Semiconductor and electronics,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.kaggle.com/datasets/qingyi/wm811k-wafer-map/data,,,Kaggle | MIR Lab public dataset page,2015 - Wafer Map Failure Pattern Recognition and Similarity Ranking for Large-Scale Data Sets,,Datasets/Public/WM-811K.md
Datasets/Public/Workpiece surface defect dataset,Workpiece surface defect dataset,Workpiece surface defect dataset,public,,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://gitcode.com/open-source-toolkit/fa031,,,GitCode,,2025 - Workpiece Surface Defect Detection Based on YOLOv11 and Edge Computing,Datasets/Public/Workpiece surface defect dataset.md
Datasets/Public/X-SDD,X-SDD,Xsteel Surface Defect Dataset | X-SDD Database | strip steel surface defect dataset,public,public,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.kaggle.com/datasets/sayelabualigah/x-sdd,Kaggle dataset page is public; Kaggle download requires Kaggle access,Kaggle license: Unknown,Kaggle | https://github.com/Fighter20092392/X-SDD-A-New-benchmark,2021 - X-SDD A New Benchmark for Hot Rolled Steel Strip Surface Defects Detection,2021 - X-SDD A New Benchmark for Hot Rolled Steel Strip Surface Defects Detection | 2024 - Surface Defect Detection of Strip Steel Based on GT-CutMix Augmentation Algorithm and Improved DSSD Model,Datasets/Public/X-SDD.md
Datasets/Public/ZJU-Leaper,ZJU-Leaper,ZJU-Leaper dataset | ZJU-Leaper fabric dataset,public,,Public,Textile and fiber inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,http://www.qaas.zju.edu.cn/zju-leaper,,,qaas.zju.edu.cn,2021 - ZJU-Leaper A Benchmark Dataset for Fabric Defect Detection and a Comparative Study,,Datasets/Public/ZJU-Leaper.md
